,Date,BRL=X,CAD=X,CL=F,CT=F,ES=F,EUR=X,GBP=X,GC=F,JPY=X,MXN=X,NQ=F,SB=F,SI=F,YM=F,ZB=F,ZC=F,ZF=F,ZN=F,ZT=F,CarteiraRenda_Fixa,CarteiraMoeda,CarteiraEquity
281,2001-01-30,,,,-0.0076176818970528,,,,,0.0119747478276411,,,,,,,,,,,,,
282,2001-01-31,,,,-0.0229973825669763,,,,,-0.0144296894190091,,,,,,,,,,,,,
283,2001-02-01,,,,0.0037801968158121,,,,,0.0023672188108317,,,,,,,,,,,,,
284,2001-02-02,,,,0.004498707235148,,,,,-0.0105198261315957,,,,,,,,,,,,,
285,2001-02-05,,,,0.0009273244767568,,,,,0.0003436293559851,,,,,,,,,,,,,
286,2001-02-06,,,,-0.0121185093136495,,,,,0.0165349396162429,,,,,,,,,,,,,
287,2001-02-07,,,,-0.001782196526976,,,,,0.0061379874434833,,,,,,,,,,,,,
288,2001-02-08,,,,-0.0082348961256092,,,,,0.0088757515776064,,,,,,,,,,,,,
289,2001-02-09,,,,-0.0065391243282744,,,,,-0.0021315063139919,,,,,,,,,,,,,
290,2001-02-12,,,,0.0077447176014803,,,,,-0.0080944695367457,,,,,,,,,,,,,
291,2001-02-13,,,,0.0234124954845034,,,,,-0.0047067347828458,,,,,,,,,,,,,
292,2001-02-14,,,,-0.0208990446480542,,,,,-0.0066385009006005,,,,,,,,,,,,,
293,2001-02-15,,,,-0.0001058784046101,,,,,0.0011782519448154,,,,,,,,,,,,,
294,2001-02-16,,,,-0.0203532949978442,,,,,0.0043089408875213,,,-0.0139563214764316,,,,,,,,,,
295,2001-02-19,,,,-0.0,,,,,-0.0053239825005617,,,0.0,,,,,,,,,,
296,2001-02-20,,,,0.0200830091972957,,,,,0.0089565292642217,,,0.0080251963451684,,,,,,,,,,
297,2001-02-21,,,,0.0095395652200039,,,,,0.0078287978365552,,,-0.0067923439163591,,,,,,,,,,
298,2001-02-22,,,,-0.0023827955534065,,,,,-0.0154413183705602,,,-0.0011573884895044,,,,,,,,,,
299,2001-02-23,,,,0.0218607838120336,,,,,0.008765795982601,,,-0.0023586968338171,,,,,,,,,,
300,2001-02-26,,,,0.0105412316206987,,,,,-0.0014373961471837,,,-0.0258808931304535,,,,,,,,,,
301,2001-02-27,,,,-0.0055032824095506,,,,,0.012547105413872,,,0.0207919949817089,,,,,,,,,,
302,2001-02-28,,,,-0.0049275193381832,,,,,0.0013160887311835,,,-0.007255539506714,,,,,,,,,,
303,2001-03-01,,,,-0.0049188346142691,,,,,0.0188385460850734,,,-0.0015926482521089,,,,,,,,,,
